file,freq,yes,no,missed
in/ss1_01_plas.vcf,0.1,0,10,79
in/ss1_01_plas.vcf,0.19,0,10,21
in/ss1_04_plas.vcf,0.1,72,29,7
in/ss1_04_plas.vcf,0.19,21,80,0
in/ss1_05_plas.vcf,0.1,46,30,33
in/ss1_05_plas.vcf,0.19,21,55,0
in/ss1_06_plas.vcf,0.1,29,28,50
in/ss1_06_plas.vcf,0.19,21,36,0
in/ss10_01_plas.vcf,0.1,0,7,79
in/ss10_01_plas.vcf,0.19,0,7,21
in/ss10_04_plas.vcf,0.1,70,33,9
in/ss10_04_plas.vcf,0.19,21,82,0
in/ss10_05_plas.vcf,0.1,47,29,32
in/ss10_05_plas.vcf,0.19,21,55,0
in/ss10_06_plas.vcf,0.1,29,29,50
in/ss10_06_plas.vcf,0.19,21,37,0
in/ss11_01_plas.vcf,0.1,0,7,79
in/ss11_01_plas.vcf,0.19,0,7,21
in/ss11_04_plas.vcf,0.1,75,30,4
in/ss11_04_plas.vcf,0.19,21,84,0
in/ss11_05_plas.vcf,0.1,47,30,32
in/ss11_05_plas.vcf,0.19,21,56,0
in/ss11_06_plas.vcf,0.1,29,30,50
in/ss11_06_plas.vcf,0.19,21,38,0
in/ss12_01_plas.vcf,0.1,0,8,79
in/ss12_01_plas.vcf,0.19,0,8,21
in/ss12_04_plas.vcf,0.1,70,30,9
in/ss12_04_plas.vcf,0.19,21,79,0
in/ss12_05_plas.vcf,0.1,54,32,25
in/ss12_05_plas.vcf,0.19,21,65,0
in/ss12_06_plas.vcf,0.1,29,33,50
in/ss12_06_plas.vcf,0.19,21,41,0
in/ss2_01_plas.vcf,0.1,0,7,79
in/ss2_01_plas.vcf,0.19,0,7,21
in/ss2_04_plas.vcf,0.1,72,30,7
in/ss2_04_plas.vcf,0.19,21,81,0
in/ss2_05_plas.vcf,0.1,54,32,25
in/ss2_05_plas.vcf,0.19,21,65,0
in/ss2_06_plas.vcf,0.1,29,30,50
in/ss2_06_plas.vcf,0.19,21,38,0
in/ss3_01_plas.vcf,0.1,0,9,79
in/ss3_01_plas.vcf,0.19,0,9,21
in/ss3_04_plas.vcf,0.1,71,30,8
in/ss3_04_plas.vcf,0.19,21,80,0
in/ss3_05_plas.vcf,0.1,43,30,36
in/ss3_05_plas.vcf,0.19,21,52,0
in/ss3_06_plas.vcf,0.1,29,27,50
in/ss3_06_plas.vcf,0.19,21,35,0
in/ss4_01_plas.vcf,0.1,0,10,79
in/ss4_01_plas.vcf,0.19,0,10,21
in/ss4_04_plas.vcf,0.1,68,31,11
in/ss4_04_plas.vcf,0.19,21,78,0
in/ss4_05_plas.vcf,0.1,37,29,42
in/ss4_05_plas.vcf,0.19,21,45,0
in/ss4_06_plas.vcf,0.1,29,31,50
in/ss4_06_plas.vcf,0.19,21,39,0
in/ss5_01_plas.vcf,0.1,0,11,79
in/ss5_01_plas.vcf,0.19,0,11,21
in/ss5_04_plas.vcf,0.1,70,30,9
in/ss5_04_plas.vcf,0.19,21,79,0
in/ss5_05_plas.vcf,0.1,56,29,23
in/ss5_05_plas.vcf,0.19,21,64,0
in/ss5_06_plas.vcf,0.1,29,29,50
in/ss5_06_plas.vcf,0.19,21,37,0
in/ss6_01_plas.vcf,0.1,0,7,79
in/ss6_01_plas.vcf,0.19,0,7,21
in/ss6_04_plas.vcf,0.1,74,30,5
in/ss6_04_plas.vcf,0.19,21,83,0
in/ss6_05_plas.vcf,0.1,48,31,31
in/ss6_05_plas.vcf,0.19,21,58,0
in/ss6_06_plas.vcf,0.1,29,29,50
in/ss6_06_plas.vcf,0.19,21,37,0
in/ss7_01_plas.vcf,0.1,0,9,79
in/ss7_01_plas.vcf,0.19,0,9,21
in/ss7_04_plas.vcf,0.1,73,30,6
in/ss7_04_plas.vcf,0.19,21,82,0
in/ss7_05_plas.vcf,0.1,49,30,30
in/ss7_05_plas.vcf,0.19,21,58,0
in/ss7_06_plas.vcf,0.1,29,29,50
in/ss7_06_plas.vcf,0.19,21,37,0
in/ss8_01_plas.vcf,0.1,0,7,79
in/ss8_01_plas.vcf,0.19,0,7,21
in/ss8_04_plas.vcf,0.1,73,31,6
in/ss8_04_plas.vcf,0.19,21,83,0
in/ss8_05_plas.vcf,0.1,52,29,27
in/ss8_05_plas.vcf,0.19,21,60,0
in/ss8_06_plas.vcf,0.1,29,30,50
in/ss8_06_plas.vcf,0.19,21,38,0
in/ss9_01_plas.vcf,0.1,0,7,79
in/ss9_01_plas.vcf,0.19,0,7,21
in/ss9_04_plas.vcf,0.1,72,30,7
in/ss9_04_plas.vcf,0.19,21,81,0
in/ss9_05_plas.vcf,0.1,49,27,30
in/ss9_05_plas.vcf,0.19,21,55,0
in/ss9_06_plas.vcf,0.1,29,29,50
in/ss9_06_plas.vcf,0.19,21,37,0
